policy,t_pos_rise,delta_r,healthy_positive_false_alarms,d01_coverage,d02_coverage,d04_coverage,d01_min_signed_headroom,d02_min_signed_headroom,d04_min_signed_headroom,effective_threshold_min,effective_threshold_max,safe_combined_criterion
A_TRACK_SOURCE,18,111,0,0/30,0/30,0/30,-109,-88,-109,18,18,0
A_TRACK_SOURCE,18,112,0,0/30,0/30,0/30,-110,-89,-110,18,18,0
A_TRACK_SOURCE,18,113,0,0/30,0/30,0/30,-111,-90,-111,18,18,0
A_TRACK_SOURCE,18,114,0,0/30,0/30,0/30,-112,-91,-112,18,18,0
A_TRACK_SOURCE,18,115,0,0/30,0/30,0/30,-113,-92,-113,18,18,0
A_TRACK_SOURCE,18,116,0,0/30,0/30,0/30,-114,-93,-114,18,18,0
A_TRACK_SOURCE,18,117,0,0/30,0/30,0/30,-115,-94,-115,18,18,0
A_TRACK_SOURCE,18,118,0,0/30,0/30,0/30,-116,-95,-116,18,18,0
A_TRACK_SOURCE,18,119,0,0/30,0/30,0/30,-117,-96,-117,18,18,0
A_TRACK_SOURCE,18,120,0,0/30,0/30,0/30,-118,-97,-118,18,18,0
A_TRACK_SOURCE,18,121,0,0/30,0/30,0/30,-119,-98,-119,18,18,0
A_TRACK_SOURCE,18,122,0,0/30,0/30,0/30,-120,-99,-120,18,18,0
A_TRACK_SOURCE,18,123,0,0/30,0/30,0/30,-121,-100,-121,18,18,0
A_TRACK_SOURCE,18,124,0,0/30,0/30,0/30,-122,-101,-122,18,18,0
A_TRACK_SOURCE,18,125,0,0/30,0/30,0/30,-123,-102,-123,18,18,0
A_TRACK_SOURCE,18,126,0,0/30,0/30,0/30,-124,-103,-124,18,18,0
A_TRACK_SOURCE,18,127,0,0/30,0/30,0/30,-125,-104,-125,18,18,0
A_TRACK_SOURCE,18,128,0,0/30,0/30,0/30,-126,-105,-126,18,18,0
A_TRACK_SOURCE,18,129,0,0/30,0/30,0/30,-127,-106,-127,18,18,0
A_TRACK_SOURCE,18,130,0,0/30,0/30,0/30,-128,-107,-128,18,18,0
A_TRACK_SOURCE,18,131,0,0/30,0/30,0/30,-129,-108,-129,18,18,0
A_TRACK_SOURCE,18,132,0,0/30,0/30,0/30,-130,-109,-130,18,18,0
A_TRACK_SOURCE,18,133,0,0/30,0/30,0/30,-131,-110,-131,18,18,0
A_TRACK_SOURCE,18,134,0,0/30,0/30,0/30,-132,-111,-132,18,18,0
A_TRACK_SOURCE,18,135,0,0/30,0/30,0/30,-133,-112,-133,18,18,0
A_TRACK_SOURCE,18,136,0,0/30,0/30,0/30,-134,-113,-134,18,18,0
A_TRACK_SOURCE,18,137,0,0/30,0/30,0/30,-135,-114,-135,18,18,0
A_TRACK_SOURCE,18,138,0,0/30,0/30,0/30,-136,-115,-136,18,18,0
A_TRACK_SOURCE,18,139,0,0/30,0/30,0/30,-137,-116,-137,18,18,0
A_TRACK_SOURCE,18,140,0,0/30,0/30,0/30,-138,-117,-138,18,18,0
