dataset,seed,event_index,event,M_FF,M_REF_RISE,signed_e,abs_e,q_ff,existing_abs_margin_alarm,diagnostic_signed_T18_alarm
healthy_rise,41021,22,231.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41022,0,1.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,2,21.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,4,41.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,6,61.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,8,86.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,10,106.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,12,126.0 ns RISE,182,204,-22,22,000000000000000000000001111111,0,0
healthy_rise,41022,14,146.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,16,171.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,18,191.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41022,20,211.0 ns RISE,182,204,-22,22,000000000000000000000001111111,0,0
healthy_rise,41022,22,231.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41023,0,1.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,2,21.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,4,41.0 ns RISE,225,209,16,16,000000000000000000000111111111,0,0
healthy_rise,41023,6,61.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,8,86.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,10,106.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,12,126.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,14,146.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,16,171.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,18,191.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,20,211.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41023,22,231.0 ns RISE,204,209,-5,5,000000000000000000000011111111,0,0
healthy_rise,41024,0,1.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,2,21.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,4,41.0 ns RISE,182,164,18,18,000000000000000000000001111111,0,0
healthy_rise,41024,6,61.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,8,86.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
